id_n,Year,rural_urban,region,Employment_Income,job_desc,job_category,employer_activity,employer_activity_code,employer_category,formal,weight
17432,2022,2. URBAN,13. HARAR,54000.0,Police,10. Army/ Member of the Armed Forces,Security service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,107.5319595
17448,2022,2. URBAN,13. HARAR,109060.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,12.23301315
17449,2022,2. URBAN,13. HARAR,61930.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,12.23301315
17452,2022,2. URBAN,13. HARAR,57500.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",1. PRIVATE COMPANY,1. YES,117.2081757
17453,2022,2. URBAN,13. HARAR,80080.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,112.3035965
17465,2022,2. URBAN,13. HARAR,43644.0,Government employee,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Pharmacy,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,198.4741058
17466,2022,2. URBAN,13. HARAR,120000.0,Administrator,"1. Legislators, Senior Government Officials and Managers",Public service,13. EDUCATION,3. GOVERNMENT,1. YES,21.15922546
17477,2022,2. URBAN,13. HARAR,47208.0,Government employee,"4. Clerks, Office clerks ",Urban development,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,252.9987488
17487,2022,2. URBAN,13. HARAR,55374.0,Governement employee,"4. Clerks, Office clerks ",Home service,13. EDUCATION,3. GOVERNMENT,1. YES,9.556020737
17520,2022,2. URBAN,13. HARAR,60000.0,Police,"1. Legislators, Senior Government Officials and Managers",Public service,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,1. YES,102.0304108
17523,2022,2. URBAN,13. HARAR,10000.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,67.83950043
17530,2022,2. URBAN,13. HARAR,19200.0,Stationary,"4. Clerks, Office clerks ",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,107.4946518
17540,2022,2. URBAN,13. HARAR,11200.0,Sattelite dish fixing,"9. Elementary Occupations, Sales And Services Elementary Occupations",Television Dish service,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,571.5793457
17547,2022,2. URBAN,13. HARAR,28800.0,Administrator,"4. Clerks, Office clerks ",Public service,13. EDUCATION,3. GOVERNMENT,1. YES,229.0623474
17555,2022,2. URBAN,13. HARAR,9000.0,Cleaning service,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",1. PRIVATE COMPANY,2. NO,30.81562233
17557,2022,2. URBAN,13. HARAR,39600.0,Guard,"4. Clerks, Office clerks ",Retailer service,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",1. PRIVATE COMPANY,1. YES,189.8693542
17561,2022,2. URBAN,13. HARAR,45000.0,Driver,"8. Plant and Machine Operators and Assemblers, Stationary-Plant and Related Operators",Road construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,1. YES,189.8693542
17562,2022,2. URBAN,13. HARAR,24000.0,Sales person- boutique,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Retailer service,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,2. PRIVATE INDIVIDUAL,2. NO,189.8693542
17589,2022,2. URBAN,13. HARAR,22000.0,Government employee,"9. Elementary Occupations, Sales And Services Elementary Occupations",Security service,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,1. YES,57.41767883
17755,2022,2. URBAN,13. HARAR,54000.0,Government employee,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Electric power provision,"5. ELECTRICITY, GAS, STEAM AND HOT WATER SUPPLY",3. GOVERNMENT,1. YES,213.8361664
17765,2022,2. URBAN,13. HARAR,180000.0,Construction work,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,1049.314941
17770,2022,2. URBAN,13. HARAR,25200.0,Electrical work,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Electric power provision,"5. ELECTRICITY, GAS, STEAM AND HOT WATER SUPPLY",8. OTHER (SPECIFY),2. NO,299.3292847
17771,2022,2. URBAN,13. HARAR,33000.0,Teacher,"4. Clerks, Office clerks ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,18.90593147
17772,2022,2. URBAN,13. HARAR,72000.0,Driver,"4. Clerks, Office clerks ",Transport,7. TRADE (WHOLESALE AND RETAIL TRADE),2. PRIVATE INDIVIDUAL,2. NO,410.2330017
17775,2022,2. URBAN,13. HARAR,22800.0,Health worker,"9. Elementary Occupations, Sales And Services Elementary Occupations",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,2. NO,304.0108643
17779,2022,2. URBAN,13. HARAR,72000.0,Agriculture office,6. Skilled Agricultural and Fishery Workers Market-Oriented Skilled Agricultural and Fishery Workers,Agriculture,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",3. GOVERNMENT,1. YES,74.23445892
17784,2022,2. URBAN,13. HARAR,63720.0,Government employee,"4. Clerks, Office clerks ",Statistics office,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,1. YES,13.55586529
17785,2022,2. URBAN,13. HARAR,139260.0,School director,"4. Clerks, Office clerks ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,13.55586529
17791,2022,2. URBAN,13. HARAR,240000.0,Private enterprise,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Bank Service,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",1. PRIVATE COMPANY,1. YES,140.8473816
17801,2022,2. URBAN,13. HARAR,84000.0,Government employee,"4. Clerks, Office clerks ",Office Service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",2. PRIVATE INDIVIDUAL,1. YES,119.8539352
17805,2022,2. URBAN,13. HARAR,120000.0,Security service,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Trade,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",1. PRIVATE COMPANY,1. YES,130.7560883
17835,2022,2. URBAN,13. HARAR,43200.0,Porter,"9. Elementary Occupations, Sales And Services Elementary Occupations",Warehouse,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,1. PRIVATE COMPANY,2. NO,125.6834412
17842,2022,2. URBAN,13. HARAR,16560.0,Guard,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Agriculture office,13. EDUCATION,3. GOVERNMENT,1. YES,158.5869141
17849,2022,2. URBAN,13. HARAR,17520.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,204.233078
17850,2022,2. URBAN,13. HARAR,25800.0,Porter,"9. Elementary Occupations, Sales And Services Elementary Occupations",Beer factory,3. MINING AND QUARRYING,1. PRIVATE COMPANY,1. YES,204.233078
17852,2022,2. URBAN,13. HARAR,64800.0,Finance officer,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Finance service,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,148.0510406
17855,2022,2. URBAN,13. HARAR,19200.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Beer factory,3. MINING AND QUARRYING,1. PRIVATE COMPANY,1. YES,334.1191711
17856,2022,2. URBAN,13. HARAR,22800.0,Entertainer,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Defence service,20. Artist ,3. GOVERNMENT,1. YES,334.1191711
17859,2022,2. URBAN,13. HARAR,11700.0,Waitress,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Hotel,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,2. PRIVATE INDIVIDUAL,1. YES,334.1191711
17867,2022,2. URBAN,13. HARAR,57600.0,Construction work,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",1. PRIVATE COMPANY,2. NO,29.55527878
17878,2022,2. URBAN,13. HARAR,50400.0,Driver,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Transport,7. TRADE (WHOLESALE AND RETAIL TRADE),2. PRIVATE INDIVIDUAL,2. NO,217.7659149
17879,2022,2. URBAN,13. HARAR,36000.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,317.1343384
17880,2022,2. URBAN,13. HARAR,67200.0,Transport officer,"9. Elementary Occupations, Sales And Services Elementary Occupations",Transport,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,317.1343384
17884,2022,2. URBAN,13. HARAR,1400.0,Daily laborer,"9. Elementary Occupations, Sales And Services Elementary Occupations",Home service,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,262.4714966
17889,2022,2. URBAN,13. HARAR,18000.0,Government employee,"9. Elementary Occupations, Sales And Services Elementary Occupations",Cleaning,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,1. YES,255.4536743
17892,2022,2. URBAN,13. HARAR,18000.0,Butchery,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Slaughterhouse service,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,2. NO,141.9221954
17898,2022,2. URBAN,13. HARAR,36000.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Disposing waste,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",2. PRIVATE INDIVIDUAL,2. NO,42.13532639
17902,2022,2. URBAN,13. HARAR,7000.0,Security service,10. Army/ Member of the Armed Forces,Secretary service,13. EDUCATION,3. GOVERNMENT,2. NO,199.93573
17907,2022,2. URBAN,13. HARAR,16500.0,Guard,"9. Elementary Occupations, Sales And Services Elementary Occupations",Shop,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,2. PRIVATE INDIVIDUAL,2. NO,449.3625488
17912,2022,2. URBAN,13. HARAR,36000.0,Guard,"9. Elementary Occupations, Sales And Services Elementary Occupations",Shop,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,235.0302429
17920,2022,2. URBAN,14. ADDIS ABABA,120840.0,Technician,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,instalition $supply,"5. ELECTRICITY, GAS, STEAM AND HOT WATER SUPPLY",1. PRIVATE COMPANY,1. YES,151.5426636
17921,2022,2. URBAN,14. ADDIS ABABA,156000.0,Technician,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Lift instalation and servilance maintainance,"5. ELECTRICITY, GAS, STEAM AND HOT WATER SUPPLY",1. PRIVATE COMPANY,1. YES,151.5426636
17930,2022,2. URBAN,14. ADDIS ABABA,24000.0,Sales person,"9. Elementary Occupations, Sales And Services Elementary Occupations",Clothes sales,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,2. PRIVATE INDIVIDUAL,2. NO,1846.302002
17934,2022,2. URBAN,14. ADDIS ABABA,12000.0,Cooker,"9. Elementary Occupations, Sales And Services Elementary Occupations",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,3963.555664
17936,2022,2. URBAN,14. ADDIS ABABA,72000.0,Police,10. Army/ Member of the Armed Forces,Police commision,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,3. GOVERNMENT,1. YES,1397.52063
17943,2022,2. URBAN,14. ADDIS ABABA,13600.0,House maid,"9. Elementary Occupations, Sales And Services Elementary Occupations",Home service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,152.955658
17944,2022,2. URBAN,14. ADDIS ABABA,36000.0,Cashier,"9. Elementary Occupations, Sales And Services Elementary Occupations",Transport,7. TRADE (WHOLESALE AND RETAIL TRADE),3. GOVERNMENT,1. YES,2044.812134
17947,2022,2. URBAN,14. ADDIS ABABA,103752.0,Religious service,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Religious service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",6. CHURCH / RELIGIOUS ORGANIZATION,2. NO,2173.90332
17953,2022,2. URBAN,14. ADDIS ABABA,42000.0,Secretary,"4. Clerks, Office clerks ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,1335.410889
17954,2022,2. URBAN,14. ADDIS ABABA,84000.0,Accountant,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Saving and Finance,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,1335.410889
17955,2022,2. URBAN,14. ADDIS ABABA,22400.0,Sales person,"9. Elementary Occupations, Sales And Services Elementary Occupations",Car sale,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,2. PRIVATE INDIVIDUAL,2. NO,1335.410889
17967,2022,2. URBAN,14. ADDIS ABABA,30240.0,Daily laborer,"9. Elementary Occupations, Sales And Services Elementary Occupations",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",1. PRIVATE COMPANY,2. NO,167.2919769
17968,2022,2. URBAN,14. ADDIS ABABA,54000.0,Washing- vehicle,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Car repair,14. HEALTH AND SOCIAL WORK,1. PRIVATE COMPANY,2. NO,1186.236206
17969,2022,2. URBAN,14. ADDIS ABABA,36000.0,Driver,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Home service,7. TRADE (WHOLESALE AND RETAIL TRADE),4. STATE-OWNED ENTERPRISE,1. YES,1186.236206
17973,2022,2. URBAN,14. ADDIS ABABA,24000.0,Guard,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Bank Service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),1. PRIVATE COMPANY,1. YES,3609.807373
17975,2022,2. URBAN,14. ADDIS ABABA,300000.0,Private service provision,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,designing,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,3609.807373
17976,2022,2. URBAN,14. ADDIS ABABA,12000.0,Telecom operator,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Telecommunication service,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",1. PRIVATE COMPANY,1. YES,3609.807373
17977,2022,2. URBAN,14. ADDIS ABABA,24000.0,Private service provision,"9. Elementary Occupations, Sales And Services Elementary Occupations",Personal work,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,2077.751221
17979,2022,2. URBAN,14. ADDIS ABABA,42000.0,Driver,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Transport,7. TRADE (WHOLESALE AND RETAIL TRADE),1. PRIVATE COMPANY,2. NO,1993.564575
17982,2022,2. URBAN,14. ADDIS ABABA,13200.0,Washing- clothes,"9. Elementary Occupations, Sales And Services Elementary Occupations",Home service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,346.4603271
17984,2022,2. URBAN,14. ADDIS ABABA,56630.0,Driver,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Government organization,7. TRADE (WHOLESALE AND RETAIL TRADE),3. GOVERNMENT,1. YES,1279.433838
17985,2022,2. URBAN,14. ADDIS ABABA,72000.0,Transitor,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Transit service,7. TRADE (WHOLESALE AND RETAIL TRADE),1. PRIVATE COMPANY,1. YES,1279.433838
17986,2022,2. URBAN,14. ADDIS ABABA,86400.0,Health worker,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",1. PRIVATE COMPANY,1. YES,1279.433838
17988,2022,2. URBAN,14. ADDIS ABABA,78564.0,Governement employee,"4. Clerks, Office clerks ",Housing management,13. EDUCATION,3. GOVERNMENT,1. YES,1768.119873
17990,2022,2. URBAN,14. ADDIS ABABA,14400.0,Private service provision,"9. Elementary Occupations, Sales And Services Elementary Occupations",Home service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,1768.119873
17991,2022,2. URBAN,14. ADDIS ABABA,14400.0,Waitress,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Restaurant,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,1. PRIVATE COMPANY,2. NO,1768.119873
17992,2022,2. URBAN,14. ADDIS ABABA,5000.0,Driver,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",No work,7. TRADE (WHOLESALE AND RETAIL TRADE),2. PRIVATE INDIVIDUAL,2. NO,398.0358582
17996,2022,2. URBAN,14. ADDIS ABABA,19488.0,Cleaning service,"4. Clerks, Office clerks ",Manucipality,13. EDUCATION,3. GOVERNMENT,1. YES,1343.115845
17998,2022,2. URBAN,14. ADDIS ABABA,13200.0,Messenger,"4. Clerks, Office clerks ",Ministry of pensions,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,1. YES,1343.115845
18000,2022,2. URBAN,14. ADDIS ABABA,24000.0,Shoe shining,"9. Elementary Occupations, Sales And Services Elementary Occupations",Personal work,14. HEALTH AND SOCIAL WORK,5. NON GOVERNMENTAL ORGANIZATIONS,2. NO,3052.901123
18001,2022,2. URBAN,14. ADDIS ABABA,21600.0,Hotel service,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Restaurant,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,1. PRIVATE COMPANY,2. NO,3052.901123
18002,2022,2. URBAN,14. ADDIS ABABA,4500.0,Hotel service,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Restaurant,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,1. PRIVATE COMPANY,2. NO,3052.901123
18005,2022,2. URBAN,14. ADDIS ABABA,36000.0,Driver,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",memors agency,7. TRADE (WHOLESALE AND RETAIL TRADE),1. PRIVATE COMPANY,1. YES,2222.44165
18006,2022,2. URBAN,14. ADDIS ABABA,30000.0,Factory worker,"4. Clerks, Office clerks ",Almunium production,3. MINING AND QUARRYING,1. PRIVATE COMPANY,1. YES,2222.44165
18009,2022,2. URBAN,14. ADDIS ABABA,1820.0,Safetinet- PSNP,"9. Elementary Occupations, Sales And Services Elementary Occupations",Safety Net,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,1. YES,155.3408508
18013,2022,2. URBAN,14. ADDIS ABABA,30000.0,Trade,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Shop,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,2. PRIVATE INDIVIDUAL,1. YES,702.6652222
18014,2022,2. URBAN,14. ADDIS ABABA,36000.0,Computer maintenance,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Home service,14. HEALTH AND SOCIAL WORK,8. OTHER (SPECIFY),2. NO,1020.051636
18022,2022,2. URBAN,14. ADDIS ABABA,36000.0,Guard,"4. Clerks, Office clerks ",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,2160.250244
18024,2022,2. URBAN,14. ADDIS ABABA,90000.0,Auditor,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Automobile company,3. MINING AND QUARRYING,1. PRIVATE COMPANY,1. YES,2729.917725
18025,2022,2. URBAN,14. ADDIS ABABA,47244.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,2729.917725
18026,2022,2. URBAN,14. ADDIS ABABA,45000.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",6. CHURCH / RELIGIOUS ORGANIZATION,1. YES,2729.917725
18031,2022,2. URBAN,14. ADDIS ABABA,9000.0,Insurance officer,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Insurance service,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",1. PRIVATE COMPANY,1. YES,1486.719604
18034,2022,2. URBAN,14. ADDIS ABABA,19200.0,Guard,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Security,7. TRADE (WHOLESALE AND RETAIL TRADE),2. PRIVATE INDIVIDUAL,1. YES,3615.508545
18038,2022,2. URBAN,14. ADDIS ABABA,67200.0,Driver,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Transport,7. TRADE (WHOLESALE AND RETAIL TRADE),2. PRIVATE INDIVIDUAL,1. YES,889.1292114
18047,2022,2. URBAN,14. ADDIS ABABA,78000.0,Bank officer,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Bank Service,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",1. PRIVATE COMPANY,1. YES,2097.853027
18053,2022,2. URBAN,14. ADDIS ABABA,66000.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",1. PRIVATE COMPANY,1. YES,2097.853027
18058,2022,2. URBAN,14. ADDIS ABABA,11000.0,Waitress,"9. Elementary Occupations, Sales And Services Elementary Occupations",Café and restaurant,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,1. PRIVATE COMPANY,2. NO,1614.806885
18062,2022,2. URBAN,14. ADDIS ABABA,60000.0,Driver,"9. Elementary Occupations, Sales And Services Elementary Occupations",labor,7. TRADE (WHOLESALE AND RETAIL TRADE),3. GOVERNMENT,1. YES,2084.32959
18074,2022,2. URBAN,14. ADDIS ABABA,24000.0,Tailor,"9. Elementary Occupations, Sales And Services Elementary Occupations",Private office,3. MINING AND QUARRYING,1. PRIVATE COMPANY,1. YES,1723.17041
18079,2022,2. URBAN,14. ADDIS ABABA,4950.0,Cleaning service,"4. Clerks, Office clerks ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",1. PRIVATE COMPANY,1. YES,2569.613525
18082,2022,2. URBAN,14. ADDIS ABABA,67956.0,Driver,"9. Elementary Occupations, Sales And Services Elementary Occupations",Transport,7. TRADE (WHOLESALE AND RETAIL TRADE),3. GOVERNMENT,1. YES,1117.716675
18097,2022,2. URBAN,14. ADDIS ABABA,14400.0,House maid,"9. Elementary Occupations, Sales And Services Elementary Occupations",Home service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,127.0095825
18107,2022,2. URBAN,14. ADDIS ABABA,3000.0,Cleaning service,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",1. PRIVATE COMPANY,1. YES,2240.912354
18110,2022,2. URBAN,14. ADDIS ABABA,11200.0,Construction work,"9. Elementary Occupations, Sales And Services Elementary Occupations",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,2240.912354
18112,2022,2. URBAN,14. ADDIS ABABA,30000.0,Sales person,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Trade,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,1. PRIVATE COMPANY,2. NO,5242.470703
